WKT,id,appellation,affected_surveys,parcel_intent,topology_type,statutory_actions,land_district,titles,survey_area,calc_area
"POLYGON ((174.7543579667 -36.8443407167,174.7541411667 -36.8442835833,174.7540123833 -36.84424965,174.7538381167 -36.8442036833,174.7536707833 -36.8441595833,174.7534931333 -36.8441128,174.7535639833 -36.8439409333,174.75442825 -36.8441686167,174.7543579667 -36.8443407167))",5232919,,,Road,Primary,,North Auckland,,,1630
"POLYGON ((174.75442825 -36.8441686167,174.7546425333 -36.8442249333,174.7545722667 -36.8443972167,174.7543579667 -36.8443407167,174.75442825 -36.8441686167))",5260088,,,Road,Primary,,North Auckland,,,404
"POLYGON ((174.7546425333 -36.8442249333,174.7547904667 -36.8442639167,174.7548037833 -36.8442675,174.7548331 -36.8442751667,174.7549664333 -36.8443103833,174.75512985 -36.8443534,174.7562692333 -36.8446537333,174.7562990333 -36.8446616167,174.7567395167 -36.84477745,174.7566372167 -36.845028,174.7566299167 -36.84498725,174.7566083167 -36.8449529333,174.7566071333 -36.8449520333,174.75660625 -36.84495145,174.7565717833 -36.8449240667,174.7565110667 -36.8449079833,174.7563425167 -36.8448633167,174.75622445 -36.8448325,174.75621195 -36.8448294167,174.75620315 -36.84482685,174.7561872167 -36.8448226167,174.7561764 -36.84482,174.75615515 -36.84481415,174.7561152667 -36.8448038667,174.75611425 -36.84480335,174.7559661667 -36.84476435,174.75596065 -36.8447631333,174.75595785 -36.84476215,174.75591995 -36.8447521667,174.75589865 -36.84474655,174.7556109167 -36.844671,174.7556007833 -36.8446683333,174.7555896 -36.8446653833,174.7555781167 -36.8446622,174.7555250667 -36.8446483833,174.7555186667 -36.8446467,174.75550375 -36.8446427667,174.7554547667 -36.84462985,174.75545105 -36.84462885,174.7553831667 -36.8446107833,174.75531925 -36.8445939333,174.7551763833 -36.8445563333,174.7549737833 -36.8445029667,174.7547688167 -36.8444489667,174.7547628 -36.8444474,174.7545722667 -36.8443972167,174.7546425333 -36.8442249333))",5226082,,,Road,Primary,,North Auckland,,,3985
"POLYGON ((174.7569826833 -36.8441811,174.7571514833 -36.84376715,174.7573619833 -36.8438304,174.7572417 -36.84412625,174.7571653667 -36.8443138333,174.75716455 -36.8443160667,174.7571638333 -36.8443177833,174.7571227 -36.84441865,174.7569603167 -36.8448168167,174.7567395167 -36.84477745,174.75685495 -36.84449435,174.7569826833 -36.8441811))",5231381,,,Road,Primary,,North Auckland,,,2339
"POLYGON ((174.7601093 -36.8442678833,174.7599965 -36.8445445833,174.7599528167 -36.8444752833,174.75958055 -36.8443772833,174.7595485833 -36.8443688667,174.7595166 -36.84436045,174.75907975 -36.8442454667,174.7590319 -36.84423285,174.7590721833 -36.8441340833,174.7591021833 -36.84406055,174.7591531667 -36.84407395,174.7594693167 -36.8441571833,174.7600230667 -36.8443029667,174.7601093 -36.8442678833))",5217357,,,Road,Primary,,North Auckland,,,1899
"POLYGON ((174.7598206667 -36.8449760333,174.7597950667 -36.8450390667,174.7598179167 -36.84513115,174.7597750167 -36.8450922,174.7595462333 -36.845032,174.7590487667 -36.84490105,174.7590363167 -36.84490565,174.7590243 -36.8449109333,174.75901275 -36.8449168667,174.75900175 -36.8449234333,174.7589913333 -36.8449306,174.7589815667 -36.8449383167,174.7589724833 -36.84494655,174.7589641333 -36.8449552833,174.75895655 -36.84496445,174.7589497667 -36.8449740333,174.7589438167 -36.84498395,174.75893875 -36.8449941833,174.7589345667 -36.8450046667,174.75892975 -36.8450179167,174.7589018167 -36.8450946333,174.75888345 -36.8451451667,174.7588767833 -36.8451680667,174.75885995 -36.8452260833,174.75885685 -36.8452351833,174.7588528667 -36.8452440667,174.75884805 -36.8452526667,174.7588424167 -36.84526095,174.758836 -36.84526885,174.7588288333 -36.8452763333,174.7588209833 -36.8452833333,174.7588124667 -36.8452898333,174.75880335 -36.8452957833,174.7587937 -36.84530115,174.75878355 -36.8453059,174.7587729667 -36.84531,174.7587575333 -36.8453146167,174.75874155 -36.8453178667,174.7586279833 -36.8453356833,174.7582180833 -36.8454000167,174.7584604833 -36.8451949333,174.758709 -36.8451549333,174.7589052333 -36.8446736,174.75935275 -36.8447914167,174.7593741 -36.8447970333,174.7593954333 -36.8448026333,174.7598433 -36.8449205167,174.7598206667 -36.8449760333))",5224130,,,Road,Primary,,North Auckland,,,3110
"POLYGON ((174.758486 -36.84513215,174.7584604833 -36.8451949333,174.7582180833 -36.8454000167,174.7579901833 -36.8454087,174.7580836333 -36.845152,174.7580861833 -36.8451543167,174.7581248333 -36.8451899833,174.758486 -36.84513215))",5261466,,,Road,Primary,,North Auckland,,,762
"POLYGON ((174.7580174667 -36.8455198667,174.7579901833 -36.8454087,174.7582180833 -36.8454000167,174.7583059833 -36.8457586,174.7581021333 -36.8458647,174.7580847167 -36.84579395,174.75806215 -36.8457020167,174.7580174667 -36.8455198667))",5261474,,,Road,Primary,,North Auckland,,,927
"POLYGON ((174.7601312833 -36.8454645167,174.7599099833 -36.8455003667,174.7598179167 -36.84513115,174.7600481833 -36.84513125,174.7601312833 -36.8454645167))",5224108,,,Road,Primary,,North Auckland,,,800
"POLYGON ((174.7600347333 -36.8450773833,174.7600481833 -36.84513125,174.7598179167 -36.84513115,174.7597950667 -36.8450390667,174.7598206667 -36.8449760333,174.7598433 -36.8449205167,174.7600279167 -36.8450500667,174.7600347333 -36.8450773833))",5256789,,,Road,Primary,,North Auckland,,,337
"POLYGON ((174.7392322167 -36.8452076333,174.7391656667 -36.8449648,174.7391992 -36.8449617833,174.7392981333 -36.84495285,174.7394984167 -36.84493475,174.7398835333 -36.8448999167,174.7399381833 -36.8451437833,174.73980225 -36.8451561,174.7395306333 -36.8451810333,174.7393793333 -36.8451947833,174.7393294 -36.8451992333,174.7392322167 -36.8452076333))",5235791,,,Road,Primary,,North Auckland,,,1755
"POLYGON ((174.7399381833 -36.8451437833,174.7398835333 -36.8448999167,174.7401544 -36.8448754333,174.7403787167 -36.8448555667,174.7403785 -36.8448568,174.7403316 -36.8451357833,174.7402936833 -36.84511845,174.7402414 -36.84511635,174.7401573 -36.8451239333,174.74000355 -36.84513785,174.7399381833 -36.8451437833))",5259097,,,Road,Primary,,North Auckland,,,1108
"POLYGON ((174.7392322167 -36.8452076333,174.73906245 -36.8452230667,174.7391656667 -36.8449648,174.7392322167 -36.8452076333))",5258480,,,Road,Primary,,North Auckland,,,209
"POLYGON ((174.74000355 -36.84513785,174.7400448167 -36.84541625,174.7400641833 -36.84541445,174.7400655333 -36.84542345,174.7400848 -36.8455446,174.7401029333 -36.8456589667,174.7401211167 -36.8457733333,174.7401417 -36.8459027333,174.73990975 -36.8458721833,174.73989325 -36.8457686667,174.7398767333 -36.8456651667,174.7398602333 -36.84556165,174.7398414667 -36.84544395,174.7398400333 -36.8454349167,174.7398407 -36.8454348667,174.7399765167 -36.8454224667,174.7399501333 -36.8452247833,174.7399381833 -36.8451437833,174.74000355 -36.84513785))",5236883,,,Road,Primary,,North Auckland,,,1226
"POLYGON ((174.74105975 -36.8455801667,174.7410233667 -36.8455580167,174.7411523667 -36.8453256167,174.7413669333 -36.8454559833,174.7412414667 -36.8456912167,174.7411485667 -36.8456344167,174.74105975 -36.8455801667))",5254742,,,Road,Primary,,North Auckland,,,666
"POLYGON ((174.7413669333 -36.8454559833,174.7411523667 -36.8453256167,174.7411919333 -36.84531655,174.7412581667 -36.8451781167,174.7413072333 -36.8450756,174.7413785333 -36.84492665,174.7413932667 -36.8448959667,174.7414158 -36.8448488667,174.74147195 -36.8447315167,174.7416833333 -36.8447948167,174.7416386167 -36.8448882667,174.7416117333 -36.8449444667,174.7415878667 -36.8449944,174.741538 -36.8450985333,174.7415178167 -36.8451407833,174.7413669333 -36.8454559833))",5227605,,,Road,Primary,,North Auckland,,,1526
"POLYGON ((174.7403316 -36.8451357833,174.7403785 -36.8448568,174.7403787167 -36.8448555667,174.7404350667 -36.8448897833,174.7405948833 -36.84498695,174.7407054333 -36.8450542167,174.7408121333 -36.8451190167,174.7409189833 -36.8451838,174.7411523667 -36.8453256167,174.7410233667 -36.8455580167,174.74097065 -36.8455254833,174.74084955 -36.84545185,174.7407408833 -36.8453854667,174.7406324833 -36.8453192833,174.7405240333 -36.845253,174.7403316 -36.8451357833))",5224668,,,Road,Primary,,North Auckland,,,2246
"POLYGON ((174.7416833333 -36.8447948167,174.74147195 -36.8447315167,174.7415404667 -36.8445883,174.7417323333 -36.8446922833,174.7416833333 -36.8447948167))",5247864,,,Road,Primary,,North Auckland,,,294
"POLYGON ((174.7419726333 -36.84418935,174.7419399667 -36.8442569333,174.7418781667 -36.8443849667,174.7418524833 -36.8444390167,174.7418233667 -36.8445003167,174.7417323333 -36.8446922833,174.7415404667 -36.8445883,174.7415386833 -36.84458745,174.7416125 -36.8444337333,174.7416864333 -36.8442807167,174.7417488167 -36.8441516,174.7418315333 -36.8439781333,174.7420567333 -36.8440149833,174.74200175 -36.8441289,174.7419726333 -36.84418935))",5227073,,,Road,Primary,,North Auckland,,,1544
"POLYGON ((174.74011425 -36.8433871167,174.7401434833 -36.8435500667,174.7401504 -36.8435882167,174.7401875833 -36.8437946,174.74019645 -36.8438439667,174.74019835 -36.8438546667,174.7402163167 -36.8439545333,174.7402227167 -36.8439902167,174.74025 -36.8441413,174.740258 -36.8441858333,174.7402929833 -36.8443798667,174.7403282667 -36.8445756,174.74035715 -36.8447359667,174.7403787167 -36.8448555667,174.7401544 -36.8448754333,174.7401053667 -36.84460285,174.7400721167 -36.8444182667,174.7400640667 -36.8443736333,174.7400081 -36.8440628167,174.7400071167 -36.8440573667,174.7400013 -36.8440251667,174.7399746333 -36.8438772833,174.7399540333 -36.8437629833,174.73989165 -36.84341655,174.7398602167 -36.8432419333,174.7398572833 -36.8432256167,174.73985435 -36.8432093167,174.74005635 -36.84306605,174.7400591833 -36.84308185,174.74008875 -36.8432460333,174.74011425 -36.8433871167))",5223919,,,Road,Primary,,North Auckland,,,3895
"POLYGON ((174.7419155833 -36.84380415,174.7421308667 -36.8438613167,174.7420567333 -36.8440149833,174.7418315333 -36.8439781333,174.7419155833 -36.84380415))",5254702,,,Road,Primary,,North Auckland,,,394
"POLYGON ((174.7430106 -36.8442889333,174.7429938 -36.8442835833,174.7428158333 -36.84422695,174.74262515 -36.8441662667,174.7423868 -36.8440904667,174.7421008167 -36.8439995,174.7420567333 -36.8440149833,174.7421308667 -36.8438613167,174.7421503667 -36.8438970833,174.74257695 -36.8440327833,174.74276815 -36.8440936167,174.7429593333 -36.8441544667,174.7431505333 -36.8442152833,174.7432454 -36.8442454667,174.74327885 -36.8443075667,174.7432837833 -36.84431675,174.7432586167 -36.84436785,174.7431699167 -36.8443987,174.7431465667 -36.84439125,174.7430959 -36.8443751167,174.7430106 -36.8442889333))",5227732,,,Road,Primary,,North Auckland,,,1476
"POLYGON ((174.7441647667 -36.8444532333,174.74430215 -36.8444956,174.7442395833 -36.8446121833,174.7441678167 -36.8445923,174.7441051333 -36.8445737667,174.7441347667 -36.84451385,174.7441647667 -36.8444532333))",5242508,,,Road,Primary,,North Auckland,,,184
"POLYGON ((174.7441867333 -36.8440486333,174.744199 -36.8440230833,174.7442033 -36.8440147667,174.7442381167 -36.8439468667,174.7443338667 -36.8439762833,174.74443275 -36.8440066667,174.7445380833 -36.8440390333,174.7448507167 -36.8441338667,174.74495615 -36.84416595,174.7450556333 -36.8441963833,174.7451510833 -36.8442252833,174.7452588333 -36.8442581833,174.7453667 -36.8442913333,174.7454780167 -36.8443275833,174.74566375 -36.8443844833,174.7460657167 -36.8445051,174.7460979667 -36.8446129667,174.7457607167 -36.8445093333,174.7456334667 -36.84447025,174.74550515 -36.8444308667,174.7453764167 -36.8443913667,174.7452499833 -36.84435255,174.7450903667 -36.8443035,174.7449530667 -36.8442619,174.7448507 -36.8442302667,174.7447381 -36.8441959833,174.7446121167 -36.8441578833,174.7444835 -36.8441193167,174.7443501667 -36.8440783333,174.7443413167 -36.8440961,174.7441867333 -36.8440486333))",5228376,,,Road,Primary,,North Auckland,,,1813
"POLYGON ((174.7459188667 -36.8440091333,174.74588625 -36.8438990333,174.7461222333 -36.8439148167,174.7461603667 -36.8440459167,174.74620235 -36.8441903667,174.7462304 -36.8442867167,174.7460081333 -36.8443108167,174.7459746167 -36.8441972833,174.7459489333 -36.84411055,174.7459188667 -36.8440091333))",5237607,,,Road,Primary,,North Auckland,,,893
"POLYGON ((174.7461222333 -36.8439148167,174.74588625 -36.8438990333,174.7458082 -36.84363135,174.74603185 -36.8436044667,174.74607085 -36.8437381833,174.7461222333 -36.8439148167))",5242496,,,Road,Primary,,North Auckland,,,662
"POLYGON ((174.7482017167 -36.8435359667,174.7482647167 -36.8435414333,174.7483739333 -36.8435621333,174.7485682333 -36.8436482167,174.74865945 -36.8436887,174.7487167167 -36.84371385,174.7487655833 -36.8437355833,174.7488644667 -36.8437794333,174.7489686667 -36.8438255167,174.74906195 -36.8438669167,174.74898095 -36.8439877833,174.7485829833 -36.8438115,174.7484864333 -36.8437683667,174.7483586 -36.8437121167,174.74822325 -36.8436743667,174.7480801167 -36.84366585,174.7477110167 -36.8436656833,174.74748005 -36.843667,174.7473665833 -36.84366825,174.7472537833 -36.8436694333,174.74714 -36.8436706833,174.74702685 -36.8436719,174.7467968833 -36.8436736167,174.7466795333 -36.8436749167,174.74655965 -36.8436753833,174.7463989833 -36.8436765833,174.7463873333 -36.8436767833,174.74607085 -36.8437381833,174.74603185 -36.8436044667,174.7463588667 -36.84354085,174.746366 -36.8435396167,174.7464610833 -36.8435389,174.74655805 -36.8435372667,174.74662655 -36.8435359667,174.74666855 -36.8435349833,174.7467938833 -36.84353635,174.7469075 -36.8435355333,174.7470208667 -36.8435347,174.7471304333 -36.84353325,174.74724525 -36.8435331167,174.7474707833 -36.8435314167,174.7476420333 -36.8435301,174.7477611167 -36.8435292167,174.7478803 -36.8435283333,174.7481153 -36.8435285,174.7482017167 -36.8435359667))",5237665,,,Road,Primary,,North Auckland,,,4185
"POLYGON ((174.74906195 -36.8438669167,174.74909845 -36.8438977667,174.7491037833 -36.8439022667,174.7491859667 -36.8439714833,174.74913255 -36.84405105,174.74898095 -36.8439877833,174.74906195 -36.8438669167))",5246802,,,Road,Primary,,North Auckland,,,192
"POLYGON ((174.74913255 -36.84405105,174.7490678667 -36.8441491833,174.7490058667 -36.8442427333,174.7489419333 -36.8443391667,174.7488757167 -36.8444390167,174.7486639167 -36.84446545,174.74898095 -36.8439877833,174.74913255 -36.84405105))",5241312,,,Road,Primary,,North Auckland,,,831
"POLYGON ((174.7502820833 -36.8445436,174.7501071833 -36.84446865,174.7499915167 -36.8444191333,174.74989195 -36.8443765833,174.74979245 -36.8443339667,174.7496717667 -36.8442822,174.7495558333 -36.84423245,174.7494337667 -36.84418075,174.74913255 -36.84405105,174.7491859667 -36.8439714833,174.7493494667 -36.8440414833,174.7495159167 -36.8441127167,174.7496432 -36.8441672167,174.7497184333 -36.8441995167,174.7498167667 -36.8442416,174.7499366167 -36.84429295,174.7500444667 -36.8443391333,174.7501462167 -36.8443828667,174.75023855 -36.8444226,174.7503431 -36.8444670667,174.7502900667 -36.84454705,174.7502820833 -36.8445436))",5234662,,,Road,Primary,,North Auckland,,,1176
"POLYGON ((174.7488108 -36.8445361667,174.7487143333 -36.84468025,174.7485805333 -36.8445903833,174.7486639167 -36.84446545,174.7488757167 -36.8444390167,174.7488108 -36.8445361667))",5249040,,,Road,Primary,,North Auckland,,,352
"POLYGON ((174.74801415 -36.8443601667,174.7479408333 -36.8443497833,174.7479180667 -36.8443494167,174.7478705333 -36.8443474,174.7478425167 -36.8443482,174.7477787167 -36.8443487333,174.74774555 -36.8443483,174.7476563667 -36.8443490167,174.747634 -36.8443491167,174.7475155167 -36.84435025,174.7473843667 -36.8443521333,174.7472715 -36.8443528667,174.7471575 -36.8443537667,174.7470447667 -36.8443547167,174.7469125167 -36.8443554667,174.74689975 -36.8443558833,174.7467736667 -36.8443568833,174.74663585 -36.8443579833,174.7465840667 -36.8443584,174.7464489333 -36.8443850333,174.7462692833 -36.8444204667,174.7462304 -36.8442867167,174.7465576 -36.8442222,174.7465624167 -36.8442212667,174.7466743 -36.84422035,174.7468070667 -36.8442192833,174.74692155 -36.84421835,174.7470357833 -36.8442174167,174.7471514667 -36.8442167333,174.7472679333 -36.8442161667,174.74738045 -36.84421615,174.7474970667 -36.8442155167,174.74772805 -36.8442147667,174.7478451 -36.8442144,174.7478585333 -36.8442142833,174.7479503333 -36.8442133667,174.7480599667 -36.8442268,174.7480611 -36.84422655,174.7480606667 -36.8442260333,174.7481608833 -36.8442547333,174.7482608833 -36.8442966333,174.7486639167 -36.84446545,174.7485805333 -36.8445903833,174.7485623667 -36.8445827667,174.7482781333 -36.8444637,174.7481769333 -36.84442125,174.74817515 -36.84442055,174.7481387667 -36.84440915,174.7480453333 -36.84438025,174.7480498333 -36.8443708167,174.7480146833 -36.8443592333,174.74801415 -36.8443601667))",5207841,,,Road,Primary,,North Auckland,,,3350
"POLYGON ((174.7463249833 -36.8446080833,174.7460979667 -36.8446129667,174.7460657167 -36.8445051,174.7460081333 -36.8443108167,174.7462304 -36.8442867167,174.7462692833 -36.8444204667,174.7463146333 -36.8445728833,174.7463249833 -36.8446080833))",5252627,,,Road,Primary,,North Auckland,,,706
"POLYGON ((174.7463796167 -36.8447915167,174.74639065 -36.8448286333,174.74640485 -36.8448765,174.7464317667 -36.8449669333,174.7461476 -36.8447792167,174.7460979667 -36.8446129667,174.7463249833 -36.8446080833,174.7463525833 -36.8447006167,174.746359 -36.8447221333,174.7463796167 -36.8447915167))",5237611,,,Road,Primary,,North Auckland,,,593
"POLYGON ((174.7464746833 -36.8450999,174.7465044833 -36.8451987167,174.74652895 -36.8452797167,174.7464894667 -36.8453849,174.7462943 -36.8452739167,174.7462468 -36.8451116667,174.7462367667 -36.8450790333,174.7461476 -36.8447792167,174.7464317667 -36.8449669333,174.7464746833 -36.8450999))",5252458,,,Road,Primary,,North Auckland,,,1044
"POLYGON ((174.7462468 -36.8451116667,174.74620735 -36.8450991,174.7462367667 -36.8450790333,174.7462468 -36.8451116667))",7537307,Section 2 SO 475686,SO 475686,Road,Primary,[Create] Declared to be road New Zealand Gazette 2014 p 3347 Vests in the Auckland Council,North Auckland,,6.0000,6
"POLYGON ((174.7464746833 -36.8450999,174.7464317667 -36.8449669333,174.7467612667 -36.8449010667,174.74677435 -36.84489845,174.7469221 -36.84489955,174.7470642833 -36.8449005833,174.7471748 -36.8449014667,174.7472898833 -36.8449022833,174.7474027 -36.8449031333,174.7475308 -36.84490405,174.74760515 -36.84490465,174.7476452833 -36.8449050333,174.7477554667 -36.8449057667,174.7478366167 -36.8449063833,174.7478493167 -36.8449119167,174.7479573833 -36.8449443667,174.74797695 -36.8449529167,174.74823925 -36.8450665667,174.7482573 -36.8450743833,174.7481747167 -36.8451946,174.7478867 -36.8450698167,174.7477990167 -36.8450434333,174.7469803333 -36.8450373333,174.74680115 -36.8450359833,174.7467946167 -36.84503595,174.7464746833 -36.8450999))",5217931,,,Road,Primary,,North Auckland,,,2474
"POLYGON ((174.7482669833 -36.8450598667,174.7484350333 -36.84480825,174.7485077667 -36.8446993,174.7485708333 -36.8446049,174.7485805333 -36.8445903833,174.7487143333 -36.84468025,174.7486245833 -36.8448147167,174.7485356167 -36.8449478333,174.74840305 -36.8451464333,174.7482573 -36.8450743833,174.7482669833 -36.8450598667))",5241311,,,Road,Primary,,North Auckland,,,911
"POLYGON ((174.7503129 -36.8450557,174.75025875 -36.84513495,174.7502473833 -36.8451518833,174.7502280167 -36.8451437333,174.7502108 -36.84513635,174.7500772333 -36.8450791,174.7499250333 -36.8450131667,174.7497806167 -36.8449510333,174.7496293167 -36.8448859667,174.7494749333 -36.8448196,174.7493248667 -36.8447551,174.7491749833 -36.8446907167,174.7488108 -36.8445361667,174.7488757167 -36.8444390167,174.7491769333 -36.8445687167,174.7492951 -36.8446191667,174.7494114833 -36.844669,174.7495289667 -36.84471935,174.7497335167 -36.84480705,174.7498495167 -36.8448568833,174.7500243833 -36.8449318833,174.7500364333 -36.84493705,174.75016285 -36.8449912667,174.75029185 -36.8450466,174.7503129 -36.8450557))",5216285,,,Road,Primary,,North Auckland,,,1760
"POLYGON ((174.7481747167 -36.8451946,174.7482573 -36.8450743833,174.74840305 -36.8451464333,174.7483239333 -36.84526105,174.7481747167 -36.8451946))",5247816,,,Road,Primary,,North Auckland,,,227
"POLYGON ((174.74599375 -36.8457310167,174.7460628 -36.8456777,174.74610935 -36.8456410167,174.74611695 -36.84563425,174.7461667167 -36.8455961167,174.7461778333 -36.8455873833,174.7461983167 -36.8455293667,174.7462157167 -36.8454847667,174.7462268333 -36.8454557167,174.7462539333 -36.8453821,174.7462943 -36.8452739167,174.7464894667 -36.8453849,174.7464403167 -36.8455158,174.7463887 -36.8456532333,174.74637695 -36.84568445,174.7462369167 -36.8457944167,174.7460696 -36.8459257833,174.7459138333 -36.8457941167,174.74599375 -36.8457310167))",5216837,,,Road,Primary,,North Auckland,,,1434
"POLYGON ((174.7450233167 -36.8455763333,174.7450792333 -36.8454768667,174.7452040333 -36.8455255167,174.7451507667 -36.8456295667,174.7450233167 -36.8455763333))",5259084,,,Road,Primary,,North Auckland,,,155
"POLYGON ((174.7450792333 -36.8454768667,174.7450233167 -36.8455763333,174.7447605833 -36.8454903333,174.7446307167 -36.8454502333,174.7444398833 -36.84539045,174.7443186167 -36.84535245,174.7441206833 -36.8452904667,174.7442307333 -36.84520725,174.7443344833 -36.8452402,174.7444357833 -36.8452723167,174.7444504333 -36.84527705,174.7445616667 -36.84531245,174.7446855833 -36.8453517833,174.7448180333 -36.8453944333,174.7449535333 -36.8454371667,174.7450792333 -36.8454768667))",5208733,,,Road,Primary,,North Auckland,,,1007
"POLYGON ((174.7441303 -36.8451694333,174.7441524333 -36.8451823667,174.7442307333 -36.84520725,174.7441206833 -36.8452904667,174.7441303 -36.8451694333))",5246414,,,Road,Primary,,North Auckland,,,60
"POLYGON ((174.7452826833 -36.8450875333,174.745349 -36.8449606833,174.7454719167 -36.8450080333,174.7454040667 -36.8451404667,174.7453132667 -36.8453177333,174.7452572833 -36.84542145,174.7452040333 -36.8455255167,174.7450792333 -36.8454768667,174.7451628667 -36.8453167333,174.7452141 -36.8452187167,174.7452826833 -36.8450875333))",5209757,,,Road,Primary,,North Auckland,,,764
"POLYGON ((174.7455729167 -36.84489505,174.7457000333 -36.8449346167,174.7458264833 -36.8449755667,174.7459521667 -36.8450163,174.74620735 -36.8450991,174.7462468 -36.8451116667,174.7462943 -36.8452739167,174.7459765 -36.8451711667,174.745854 -36.84513155,174.7457227833 -36.8450892,174.7457219333 -36.8450889,174.7455986667 -36.8450490833,174.7454719167 -36.8450080333,174.7455729167 -36.84489505))",5228390,,,Road,Primary,,North Auckland,,,1087
"POLYGON ((174.745349 -36.8449606833,174.7453228333 -36.8448153833,174.7454457667 -36.8448554667,174.7455729167 -36.84489505,174.7454719167 -36.8450080333,174.745349 -36.8449606833))",5244876,,,Road,Primary,,North Auckland,,,261
"POLYGON ((174.7451936833 -36.84477555,174.7453228333 -36.8448153833,174.745349 -36.8449606833,174.7450869833 -36.8448805333,174.7449519333 -36.8448392667,174.7448219167 -36.8447994833,174.7446971 -36.8447613167,174.74455585 -36.84471155,174.7444347333 -36.8446735,174.7443136167 -36.8446354333,174.7443124833 -36.8446350667,174.7442764333 -36.84462335,174.7442395833 -36.8446121833,174.74430215 -36.8444956,174.7444281667 -36.84453525,174.7445560667 -36.8445762833,174.7446754 -36.8446136333,174.74477565 -36.8446451333,174.7449062167 -36.8446859167,174.7450653667 -36.8447359167,174.7451936833 -36.84477555))",5230248,,,Road,Primary,,North Auckland,,,1453
"POLYGON ((174.7437663833 -36.8449418833,174.743868 -36.84501605,174.74350815 -36.84540965,174.74339435 -36.8453524667,174.7434738833 -36.8452598167,174.7435825167 -36.8451417167,174.7436757833 -36.8450403333,174.7437663833 -36.8449418833))",5250242,,,Road,Primary,,North Auckland,,,675
"POLYGON ((174.7437663833 -36.8449418833,174.7438786 -36.8448201,174.7439903333 -36.84469865,174.7441051333 -36.8445737667,174.7441678167 -36.8445923,174.7442395833 -36.8446121833,174.74405495 -36.8448128667,174.743868 -36.84501605,174.7437663833 -36.8449418833))",5234372,,,Road,Primary,,North Auckland,,,648
"POLYGON ((174.7420278 -36.84490705,174.7416833333 -36.8447948167,174.7417323333 -36.8446922833,174.7420537667 -36.8447969667,174.7422480333 -36.8448601667,174.7424072667 -36.8449119667,174.7425756667 -36.8449669,174.7427527333 -36.84502485,174.7428208 -36.84504695,174.7429441833 -36.8450873167,174.7429826333 -36.8450998667,174.7431000667 -36.8451381,174.7432180167 -36.8451765,174.7434738833 -36.8452598167,174.74339435 -36.8453524667,174.743146 -36.8452717167,174.7430674167 -36.8452459,174.7428877333 -36.84518725,174.7427067167 -36.84512825,174.7425267667 -36.8450695667,174.74231455 -36.84500045,174.7420278 -36.84490705))",5214893,,,Road,Primary,,North Auckland,,,2025
"POLYGON ((174.7438208667 -36.84560795,174.7437271333 -36.8455484333,174.7436703 -36.84552075,174.74362605 -36.8454843833,174.74350815 -36.84540965,174.743868 -36.84501605,174.7440046833 -36.8450959833,174.7441303 -36.8451694333,174.7441206833 -36.8452904667,174.74397085 -36.84546085,174.7439123333 -36.8455275833,174.7438543667 -36.8455936833,174.7438343 -36.8456165333,174.7438208667 -36.84560795))",5216236,,,Road,Primary,,North Auckland,,,1968
"POLYGON ((174.7428427167 -36.8459610833,174.7428836667 -36.8459162,174.7429040333 -36.8458941,174.7429500167 -36.8458441333,174.7430909 -36.8456882,174.7431108167 -36.8456659667,174.7431909333 -36.8455769833,174.74324525 -36.84551705,174.7432715167 -36.8454880833,174.74339435 -36.8453524667,174.74350815 -36.84540965,174.7433205667 -36.84562095,174.7432804 -36.8456654,174.7430839167 -36.8458827833,174.7430575333 -36.8459119833,174.7429937833 -36.8459827,174.7429171 -36.8460677167,174.7427238 -36.8462819667,174.7426052833 -36.8462078,174.7428427167 -36.8459610833))",5225314,,,Road,Primary,,North Auckland,,,1469
"POLYGON ((174.7420917167 -36.8462101,174.7423904167 -36.8460754,174.74250025 -36.8461428833,174.7422292 -36.8462897333,174.7420917167 -36.8462101))",5245476,,,Road,Primary,,North Auckland,,,380
"POLYGON ((174.7426052833 -36.8462078,174.7424261667 -36.8464100667,174.74233595 -36.8463555333,174.7422292 -36.8462897333,174.74250025 -36.8461428833,174.7426052833 -36.8462078))",5219393,,,Road,Primary,,North Auckland,,,468
"POLYGON ((174.7427238 -36.8462819667,174.7425152 -36.8464640833,174.7424261667 -36.8464100667,174.7426052833 -36.8462078,174.7427238 -36.8462819667))",5252563,,,Road,Primary,,North Auckland,,,320
"POLYGON ((174.742804 -36.84633095,174.74289175 -36.8463845667,174.7429426833 -36.84641565,174.74304595 -36.84647875,174.7431397167 -36.8465360333,174.7432266167 -36.8465891,174.7434103333 -36.8467012833,174.74349245 -36.8467514167,174.74325355 -36.8469158833,174.7431455333 -36.8468499333,174.74305745 -36.8467961333,174.7429657 -36.84674005,174.7428750667 -36.8466845667,174.7427915667 -36.8466334,174.7427011333 -36.84657795,174.7426128167 -36.8465237667,174.7425152 -36.8464640833,174.7427238 -36.8462819667,174.742804 -36.84633095))",5214777,,,Road,Primary,,North Auckland,,,2313
