WKT,id,appellation,affected_surveys,parcel_intent,topology_type,statutory_actions,land_district,titles,survey_area,calc_area
"POLYGON ((174.748553 -36.8490991167,174.7486378167 -36.84913595,174.7483916667 -36.8491698667,174.7483749833 -36.8490632667,174.7485452667 -36.8490493,174.748553 -36.8490991167))",5235884,,,Road,Primary,,North Auckland,,,193
"POLYGON ((174.7484111167 -36.8492937,174.7484067667 -36.8492650167,174.7483916667 -36.8491698667,174.7486378167 -36.84913595,174.7486349167 -36.8492711667,174.7485806333 -36.8492766333,174.7484517 -36.8492896167,174.7484111167 -36.8492937))",5259180,,,Road,Primary,,North Auckland,,,303
"POLYGON ((174.7494380333 -36.8492207167,174.74863955 -36.84930095,174.7486349167 -36.8492711667,174.7486378167 -36.84913595,174.7489127167 -36.8491080833,174.7491388 -36.8490851833,174.7493649833 -36.8490622167,174.7495955667 -36.8490388167,174.7496548333 -36.8492244333,174.7494338333 -36.8491938833,174.7494380333 -36.8492207167))",5235893,,,Road,Primary,,North Auckland,,,1612
"POLYGON ((174.7497243667 -36.8490449167,174.7497746667 -36.8490876667,174.7498191833 -36.84908045,174.7500029167 -36.8491286333,174.7499965167 -36.8491341333,174.7499908667 -36.8491401333,174.7499860167 -36.8491465833,174.7499820333 -36.8491534,174.74997895 -36.8491605167,174.7499768167 -36.84916785,174.74997565 -36.8491753333,174.74997545 -36.84918285,174.7499762333 -36.8491903667,174.7499779833 -36.8491977667,174.7499806833 -36.8492049833,174.7499843167 -36.8492119167,174.7499888167 -36.8492185333,174.7499941667 -36.8492247167,174.7500002833 -36.8492304333,174.7498372167 -36.8492920833,174.7498040333 -36.8492797833,174.7496942 -36.84923905,174.7496548333 -36.8492244333,174.7495955667 -36.8490388167,174.7497243667 -36.8490449167))",5258169,,,Road,Primary,,North Auckland,,,638
"POLYGON ((174.74772585 -36.8493261833,174.74773665 -36.8493777833,174.7477430167 -36.8494178333,174.7477569 -36.8495048167,174.7477715 -36.8495963833,174.7477867 -36.8496938667,174.7478003833 -36.8497795833,174.7478149833 -36.8498708833,174.74766425 -36.8499065167,174.74763835 -36.8497495833,174.74767905 -36.8497454333,174.7476639333 -36.8496539667,174.7476232 -36.84965815,174.7476084333 -36.8495685333,174.7476490667 -36.8495641167,174.7476328167 -36.8494711,174.7476125167 -36.8493577,174.7476004833 -36.8493064,174.7475839833 -36.84926885,174.747564 -36.8492407,174.7474991333 -36.8491622,174.7474604667 -36.84913995,174.7476022667 -36.8491253333,174.7476412667 -36.8491666833,174.7476502333 -36.8491793667,174.7476867667 -36.8492308833,174.7476869333 -36.8492312,174.74771625 -36.8492803,174.74772585 -36.8493261833))",5233038,,,Road,Primary,,North Auckland,,,1001
"POLYGON ((174.7476502333 -36.8491793667,174.7476412667 -36.8491666833,174.7476022667 -36.8491253333,174.7476895 -36.8491182167,174.7476665667 -36.8491229667,174.7476475667 -36.84913955,174.7476417667 -36.8491616,174.7476502333 -36.8491793667))",4693889,,DP 76390,Road,Primary,,North Auckland,,13.0000,13
"POLYGON ((174.7459916667 -36.8492583167,174.7459645 -36.84917005,174.7463069167 -36.84914255,174.7464623333 -36.8491300667,174.7465754833 -36.8491209833,174.7466906 -36.8491117167,174.7467998167 -36.84910295,174.746956 -36.8490904,174.7473500333 -36.8490587167,174.7474604667 -36.84913995,174.7472498333 -36.8491584667,174.7471323333 -36.8491677167,174.7470072833 -36.8491776,174.7468742667 -36.84918845,174.7467415667 -36.84919945,174.7467536667 -36.84926375,174.7466186833 -36.8492754333,174.7465862333 -36.8492782667,174.74657405 -36.8492121167,174.7464750333 -36.84921985,174.7463367667 -36.8492312167,174.7463366333 -36.8492304333,174.7459916667 -36.8492583167))",5209899,,,Road,Primary,,North Auckland,,,1396
"POLYGON ((174.74423045 -36.8492490333,174.7442583333 -36.8493357667,174.74428635 -36.84942215,174.7443595 -36.84964995,174.7443735167 -36.8496938667,174.7440821833 -36.8497847,174.7439143833 -36.8492572833,174.74423045 -36.8492490333))",5207735,,,Road,Primary,,North Auckland,,,1538
"POLYGON ((174.7459645 -36.84917005,174.7459916667 -36.8492583167,174.7458844333 -36.8492911333,174.7458588833 -36.8492063833,174.7459645 -36.84917005))",5257312,,,Road,Primary,,North Auckland,,,100
"POLYGON ((174.74577065 -36.84906645,174.7459241 -36.8490215167,174.7459645 -36.84917005,174.7458588833 -36.8492063833,174.7458179333 -36.8492103667,174.7458107333 -36.8491838667,174.7457852333 -36.8490900167,174.74577065 -36.84906645))",5220944,,,Road,Primary,,North Auckland,,,236
