WKT,t50_fid,name_ascii,macronated,name,hway_num,rna_sufi,lane_count,way_count,status,surface
"LINESTRING (174.790077026543 -36.8594654865568,174.789537663656 -36.8593716077545,174.789466745201 -36.8593591899165,174.789392292403 -36.8593451388517,174.789301130129 -36.8593240240769,174.789234202123 -36.8593030680064,174.789189499517 -36.8592852564233,174.788998699507 -36.8591999068924,174.78894862168 -36.8591815551197,174.788911691215 -36.8591739386521,174.788870972108 -36.859169176968,174.788793452555 -36.8591638182474,174.788703377934 -36.8591605223535,174.788283019761 -36.8591269523162,174.788223548324 -36.8591255993682,174.788177450131 -36.8591279785925,174.78814677075 -36.8591318121811,174.788122500709 -36.8591406067339,174.788092781677 -36.859155663767,174.788062508072 -36.8591769105289,174.787963737576 -36.8592533963595,174.787953480932 -36.8592613382674,174.787928562694 -36.8592806350357,174.787912282273 -36.8593022327464,174.787909297707 -36.8593241928389,174.787914688409 -36.8593454653795,174.787931277035 -36.8593671309659,174.787962715744 -36.8593958784677,174.787989971482 -36.8594198982788,174.788112704949 -36.8595280591126,174.788291851719 -36.8596859378148,174.788386266103 -36.8597463289829,174.788576454269 -36.859865404218,174.788623404043 -36.8598995370177,174.788668295194 -36.859935386292,174.789301092996 -36.8604757955597,174.789355327112 -36.8605397680896,174.789375983599 -36.8605710489902,174.789392393714 -36.860604990593,174.789453504265 -36.8607313034426,174.78962834791 -36.8610909980191)",3287750,TOHUNGA CRESCENT,N,TOHUNGA CRESCENT,,1824546,2,,,sealed
"LINESTRING (174.78962834791 -36.8610909980191,174.78964885197 -36.8611403539249,174.789655898263 -36.8611653483073,174.789659196006 -36.8611912644334,174.789655800647 -36.8612073278717,174.789649713014 -36.8612234318589,174.789636637369 -36.8612400746376,174.789619193059 -36.8612541855504,174.789275799556 -36.861507203689,174.788430281053 -36.8621303000753)",3319763,ELAM STREET,N,ELAM STREET,,1824798,2,,,sealed
"LINESTRING (174.776287006743 -36.8672633360052,174.776500254386 -36.8665737020606,174.776503621095 -36.8665628131009,174.776624595443 -36.8661623358689)",3287711,KINGDON STREET,N,KINGDON STREET,,1825417,2,,,sealed
"LINESTRING (174.777758999297 -36.8667697470074,174.777725855187 -36.8667845724153,174.777704786712 -36.8667926508792,174.7776793537 -36.8668000185841,174.777662031535 -36.8668029943848,174.777635953324 -36.8668033845411,174.777612745839 -36.8668025672116,174.777581292613 -36.8668003211292,174.777530342257 -36.8667906025691,174.777349652347 -36.8667507712889,174.776500254386 -36.8665737020606)",3287766,SHORT STREET,N,SHORT STREET,,1825421,2,,,sealed
"LINESTRING (174.77740435889 -36.8654162922504,174.777589869669 -36.8648014417725,174.777706637279 -36.8644144256969)",3287749,CLAYTON STREET,N,CLAYTON STREET,,1825431,2,,,sealed
"LINESTRING (174.776553768617 -36.865240672362,174.777146719118 -36.8632740836514)",3261828,MORGAN STREET,N,MORGAN STREET,,1825415,2,,,sealed
"LINESTRING (174.776673394712 -36.8660007871646,174.776882586431 -36.8653082558292)",6636027,KINGDON STREET,N,KINGDON STREET,,1825417,2,,,sealed
"LINESTRING (174.775718585182 -36.8663640405655,174.775477634516 -36.8670949954226)",3319785,SUITER STREET,N,SUITER STREET,,1825411,2,,,sealed
"LINESTRING (174.773930355806 -36.8646876176978,174.773973956503 -36.8646519189999,174.774005415492 -36.8646280676242,174.7740452241 -36.8646006917184,174.774057549179 -36.8645922162608,174.774092584301 -36.864572052036,174.774131769029 -36.864555099515,174.774233365864 -36.8645189764234,174.774477898429 -36.8644292314141,174.774902803798 -36.8642732868192,174.775104175304 -36.8641977936958,174.775147991633 -36.8641798360585,174.775182962626 -36.8641610416117,174.775195483824 -36.8641543117098,174.775218698106 -36.8641418364389,174.77537919573 -36.8640508339215,174.77566850016 -36.8638867968677,174.776126358132 -36.8636278937326,174.776282986226 -36.8635396212299,174.776570444774 -36.8633776132861,174.776704312824 -36.8633026589405,174.776771700153 -36.8632721900722,174.776817919265 -36.8632574695691,174.776870655883 -36.8632477955403,174.776922402906 -36.8632456192215,174.776990031049 -36.8632506874134,174.777050150929 -36.8632582050338,174.777124341084 -36.8632701901494,174.777146719118 -36.8632740836514,174.77718412397 -36.8632805916254,174.777208487656 -36.8632848312765,174.777302007575 -36.8633021380164,174.777673029066 -36.8633901164192,174.777819574114 -36.8634240343391,174.778077179718 -36.8634836567215,174.778390401751 -36.863556151044,174.779353345394 -36.8637708801592,174.779712013078 -36.8638529575823,174.779961339162 -36.8639087871281)",3261798,GEORGE STREET,N,GEORGE STREET,,1825022,2,,,sealed
"LINESTRING (174.744240630699 -36.8445581919468,174.744255814841 -36.8445564881826,174.744272493359 -36.844555945053,174.744289199352 -36.8445574502823,174.745407425052 -36.8449190169821,174.745440842135 -36.8449294938087,174.746204073361 -36.8451687793409,174.746395826109 -36.8452199452908)",3262429,MELFORD STREET,N,MELFORD STREET,,1824597,2,,,sealed
"LINESTRING (174.745039289896 -36.8478959604376,174.745304961025 -36.8479173617664,174.745567560524 -36.8479363992145,174.74562199168 -36.8479420389421,174.745664837465 -36.8479471331513,174.745708185277 -36.847954723914,174.745744421952 -36.8479627769552,174.745781152522 -36.8479729688386,174.745838263531 -36.847998601549,174.746116902008 -36.8481161339597,174.746330536219 -36.8482085557627)",3321017,,N,,,0,1,,,sealed
"LINESTRING (174.745087726224 -36.8474522665663,174.745075750789 -36.8475533050235,174.74504899598 -36.8478122116117,174.745039289896 -36.8478959604376,174.744986976472 -36.8483473221729)",3321015,MARGARET STREET,N,MARGARET STREET,,1831384,2,,,sealed
"LINESTRING (174.741782704607 -36.8479372895103,174.741678266052 -36.8471662259501,174.741644964867 -36.8469201988425,174.74164001124 -36.8468607851561,174.741638568223 -36.8468168069875,174.741642579861 -36.8467974305016,174.741651987136 -36.8467804797899,174.741665399089 -36.846763470389,174.741685522566 -36.8467437622384,174.741717179508 -36.8467111994815,174.741836830647 -36.8465899658592,174.742051240411 -36.8463686121785,174.742258554111 -36.8461544611644)",3288586,BLAKE STREET,N,BLAKE STREET,,1823804,2,,,sealed
"LINESTRING (174.74314095873 -36.847612569714,174.74301278596 -36.8475460264989,174.742891375113 -36.8474786475744,174.742006618025 -36.8469406543401,174.741734442483 -36.8467740093153,174.741685522566 -36.8467437622384,174.741368784963 -36.8465479212595,174.741175564614 -36.8464280526065,174.740818210472 -36.8462147187193,174.740486334918 -36.8460060184888,174.740454410063 -36.8459916543328,174.740429548303 -36.84598515195,174.740408425767 -36.8459814764149,174.740381433369 -36.8459790883326,174.740351312153 -36.8459793779998,174.74004646453 -36.846003470414)",3288587,PROSFORD STREET,N,PROSFORD STREET,,1824660,2,,,sealed
"LINESTRING (174.743886683717 -36.8486820776991,174.744091502724 -36.8486625980775,174.744649403071 -36.8486108930177,174.745082548006 -36.8485709231344,174.745116409703 -36.8485693650167,174.745143317855 -36.8485718001167,174.745175155617 -36.8485780548389,174.745214539162 -36.8485870280716,174.74544957518 -36.8486433671836,174.745932620632 -36.8487650525555)",3288571,RENALL STREET,N,RENALL STREET,,3009275,2,,,sealed
"LINESTRING (174.74402782726 -36.849122277942,174.744262328395 -36.8490999630303,174.744516003795 -36.8490787110032,174.744999686088 -36.8490347645914,174.745728010798 -36.8489725776884,174.745764232263 -36.8489756996686,174.745792849994 -36.8489836663126,174.745818285141 -36.8489950498408,174.745842936419 -36.8490113184642,174.745866777961 -36.8490351315382,174.745880612461 -36.8490566453625,174.745933506822 -36.8492180963928)",3288570,RUSSELL STREET,N,RUSSELL STREET,,3016129,2,,,sealed
"LINESTRING (174.742511279986 -36.8500010269894,174.742439365801 -36.8495249917411,174.742431301307 -36.8495058950497,174.742412639925 -36.8494681480061,174.742400794189 -36.8494392946795,174.742394520222 -36.8493865748949,174.742392210082 -36.8493433539847,174.742399421746 -36.8493099614756,174.742406264889 -36.8492627558054,174.742397714986 -36.8491915917576,174.742374975346 -36.8490189907513,174.7423185321 -36.8486025293438)",3321005,BAYARD STREET,N,BAYARD STREET,,1824698,2,,,sealed
"LINESTRING (174.74260298258 -36.8507390181721,174.743077758784 -36.8506954570304,174.743798195795 -36.8506338436402,174.744123244287 -36.8506110962091,174.74437454039 -36.8505873817167,174.744495824358 -36.8505752268936)",3288565,TOLE STREET,N,TOLE STREET,,1824538,2,,,sealed
"LINESTRING (174.738956657081 -36.8488670772788,174.739151144402 -36.8488660222602,174.739719462185 -36.848819359796,174.740376419419 -36.8487654161309,174.741604723348 -36.8486609916799,174.7423185321 -36.8486025293438,174.742941803905 -36.8485454374499,174.74348399112 -36.8485057570416,174.743818583436 -36.8484860495797)",3262392,POMPALLIER TERRACE,N,POMPALLIER TERRACE,,1824681,2,,,sealed
"LINESTRING (174.744840490853 -36.842078651213,174.744988165643 -36.8420241661311,174.745010630693 -36.8420127893638,174.745031360736 -36.84199908735,174.745050329147 -36.8419850957264,174.745065813742 -36.8419809934711,174.745087304347 -36.8419800812314,174.745121138595 -36.8419837585793,174.7451357947 -36.841981344988,174.745143895615 -36.8419732887633,174.745147106661 -36.8419601324015,174.745151120279 -36.8419484397624,174.745160138571 -36.8419372775395,174.74517258232 -36.8419299408155,174.745187702586 -36.8419261413392,174.745190681644 -36.841926005471,174.745206969013 -36.8419252626391,174.74523225501 -36.8419281704397,174.745249075191 -36.8419338849642)",3321094,BOYLAN STREET,N,BOYLAN STREET,,1824327,1,,,sealed
