WKT,t50_fid,name_ascii,macronated,name,hway_num,rna_sufi,lane_count,way_count,status,surface
"LINESTRING (174.705108026995 -36.8724481132695,174.705015810469 -36.8722502734093,174.704904129912 -36.872010674189,174.704829809847 -36.8718512271533,174.704745507635 -36.871699940085,174.704625073787 -36.8715443907541,174.704463771516 -36.8713760014653,174.704329871896 -36.8712590052885,174.704172150279 -36.8711442686473,174.703966528786 -36.8710225466752,174.703749571765 -36.870927839097,174.703552431196 -36.8708654532596,174.703394113552 -36.8708312807547,174.703106584889 -36.8707836160722,174.702778741635 -36.8707480365415,174.702424860059 -36.8707224192633,174.701932987736 -36.8707179577392,174.701697150562 -36.8707405157845,174.7014596073 -36.8707937860516,174.701306271533 -36.8708765383939,174.701137420705 -36.871013217127,174.701061345294 -36.8711351413125,174.701031495531 -36.8712205851229,174.701007471141 -36.8712893538869,174.700996256369 -36.8714295296124,174.70102054166 -36.871555770995,174.701078365923 -36.8716872862482,174.70115946024 -36.8717916160771,174.701266636461 -36.8718879003321,174.701397082763 -36.8719569990488,174.701544022322 -36.8720162713438,174.70182264688 -36.8720928375308,174.702486653333 -36.8722156680311,174.702934255381 -36.8722687120496,174.703264364011 -36.8722985045482,174.703716801515 -36.8723195389653,174.704043380158 -36.8723272473947,174.704549161758 -36.8723046429468,174.704585122122 -36.8723030357198,174.704881586367 -36.8722754714811)",8463174,STATE HIGHWAY 16,N,STATE HIGHWAY 16,16,3055877,2,,,sealed
"LINESTRING (174.707347983354 -36.8746892349036,174.707385564991 -36.8746972801943,174.707415546492 -36.8747040033501,174.707451840153 -36.874714214142,174.707485964362 -36.8747269591465,174.707525087718 -36.8747442832561,174.707566637465 -36.8747665803755,174.707600976721 -36.8747889811112,174.707645140272 -36.8748260263643,174.707691837489 -36.8748701900916,174.70777419766 -36.8749429358365,174.707838997157 -36.8750001936897,174.707915265251 -36.8750658728954,174.707981961703 -36.8751283501501,174.708023455206 -36.8751654345409,174.70806855217 -36.875204373465,174.708091279969 -36.8752222972332,174.708114873829 -36.8752381020937,174.708142060369 -36.8752498388873,174.70816971296 -36.8752580194626,174.708198757695 -36.8752631199367,174.708229626987 -36.8752649601314,174.708260970787 -36.8752631709747,174.708295937581 -36.8752555024978,174.708323197625 -36.8752452551968,174.708353567336 -36.8752311666957,174.708401990777 -36.8752069929892,174.70842982283 -36.8751904946974,174.708498688713 -36.8751504534976,174.708543703151 -36.875122379946,174.708590221322 -36.8750951797923,174.708622053882 -36.8750750473742,174.708664027553 -36.875043739301,174.708778435687 -36.8749493838822,174.708832636044 -36.8749006102308,174.708863322659 -36.8748790033998,174.708894109992 -36.8748618667037,174.708932738561 -36.8748470021844,174.708969342294 -36.8748411099601,174.709031235207 -36.8748378347199,174.709149455831 -36.8748313642004,174.709496476729 -36.8748186209915,174.709626667845 -36.8748217483824,174.70968206983 -36.8748212152671,174.710231939986 -36.8747886838408)",8463175,,N,,,0,1,,,sealed
"LINESTRING (174.735165940176 -36.8682245217221,174.734370483278 -36.8681036079491,174.733869192309 -36.8680683454542,174.733460961942 -36.8680438315528,174.733362122373 -36.8680378961032,174.732853417909 -36.8680314786077,174.732337926041 -36.868033206045,174.732113899638 -36.8680460416472,174.73171230568 -36.8680721665791,174.731288564962 -36.8681033818785,174.730867233794 -36.8681450982141,174.730637832448 -36.8681598868405,174.730530473713 -36.8681638354684,174.730422436772 -36.868163977574,174.730334239694 -36.8681598151597,174.730264984403 -36.8681529612383,174.730180305263 -36.8681401900934,174.730084851243 -36.868119766508,174.730010351585 -36.8681006304313,174.729931589615 -36.8680756994116,174.729833351172 -36.868037209003,174.729750646719 -36.8679972304862,174.729676878847 -36.8679542717602,174.729601575015 -36.8679030420519,174.729514319898 -36.8678321286797,174.729467306938 -36.8677867036737,174.729411788687 -36.8677301437165,174.729356227996 -36.8676719961762,174.72930350782 -36.8676181778994,174.729264017523 -36.8675803958097,174.72922102797 -36.8675441897112,174.729191704726 -36.8675277567598,174.729161161748 -36.8675149415319,174.729122907878 -36.8675018959966,174.729070104339 -36.8674874154154,174.729030192487 -36.8674764701675)",8463176,STATE HIGHWAY 16,N,STATE HIGHWAY 16,16,1786646,2,,,sealed
"LINESTRING (174.748488301746 -36.8759032216312,174.74850985709 -36.875838900014,174.748556593259 -36.875675449413,174.748699481553 -36.8752375225417,174.748842104958 -36.8747945906214,174.748880454078 -36.8746799133485,174.74888577794 -36.8746608923478,174.748889748276 -36.8746408655418,174.748893685615 -36.8746210645573,174.748898377482 -36.8746026675751,174.748903688999 -36.8745855161415,174.748916646929 -36.8745488119756,174.748953974416 -36.8744439031535,174.748986053536 -36.8743537030879,174.748994316858 -36.8743321781431,174.749007011742 -36.8742981602374,174.749015935563 -36.8742778522964,174.749023708947 -36.8742631802657,174.749032896399 -36.8742481845665,174.749043602671 -36.8742329817322,174.749063408783 -36.8742108956752,174.749104534188 -36.8741775840961,174.749185659998 -36.8741219459074,174.749404692417 -36.8739773020387,174.749901326285 -36.8736434479585,174.750148698466 -36.8734758490472,174.75019976852 -36.8734426817398)",8463177,MARLBOROUGH STREET,N,MARLBOROUGH STREET,,1818881,2,,,sealed
"LINESTRING (174.721802815238 -36.9275758062683,174.721450552578 -36.9273006994576,174.72130465245 -36.9271676503869,174.721240243867 -36.9270892147022,174.721183488041 -36.9270028092767,174.721157964967 -36.9269560283167,174.721089650323 -36.9268344281046,174.720987366688 -36.9266386648621,174.720780810671 -36.92624559586,174.720751321662 -36.9261965152664,174.72071894973 -36.9261498343447,174.720688765834 -36.9261133374977,174.72066272389 -36.9260869964158,174.720629745356 -36.9260568259925,174.720587871867 -36.9260228563992,174.720551138851 -36.9259998131682,174.720465982094 -36.9259562539532,174.720400855221 -36.9259328369753,174.720330923426 -36.9259134185116,174.720225748326 -36.9258937245776,174.719695496662 -36.9258181054596,174.718941849903 -36.9257019758018)",3286888,RANGITIKI CRESCENT,N,RANGITIKI CRESCENT,,1825230,2,,,sealed
"LINESTRING (174.702523163414 -36.9268224501302,174.702716188302 -36.9267277068967,174.703130755259 -36.9265186074085,174.703164241165 -36.9264958919319,174.703192579884 -36.926468195542,174.703214490861 -36.926434528007,174.703226379569 -36.9264030250258,174.703231996782 -36.9263726223997,174.703234850454 -36.9263311422535,174.703231299993 -36.926284700134,174.703222355088 -36.9262221635001,174.703196059859 -36.9261154043802,174.703076229587 -36.9256487367698,174.703071548968 -36.9256305085134,174.703034485517 -36.9254244741738,174.703009307619 -36.9253821755457,174.702971166551 -36.9253438048908,174.702927800382 -36.9253219743011,174.702877227295 -36.9253083701602,174.702425113427 -36.9252441016075,174.70225703558 -36.9252178793257,174.701825760085 -36.925150593685)",3286892,GILL CRESCENT,N,GILL CRESCENT,,1824121,2,,,sealed
"LINESTRING (174.721570111802 -36.9329492522838,174.721656532189 -36.9331977125719,174.721758066913 -36.9335122915655,174.721831907185 -36.933741064692,174.721893173967 -36.9339696409229,174.721918970431 -36.9340719491654,174.72193359778 -36.934141938724,174.72194013697 -36.9342005192508,174.721940387236 -36.9342696690405,174.721934066852 -36.9343368194034,174.721916498602 -36.9344261354583,174.721894733585 -36.9345029395938,174.721867677394 -36.9345766765831,174.721826364055 -36.9346548115318,174.721758261515 -36.9347605769814,174.721665862561 -36.9348886990628,174.721542973269 -36.9350539341072,174.721418237226 -36.9351950976059,174.721326529942 -36.9352959664353,174.721177213824 -36.9354469167185)",3286894,SYLVANIA CRESCENT,N,SYLVANIA CRESCENT,,1825278,2,,,sealed
"LINESTRING (174.718542944396 -36.9144121562408,174.718650983424 -36.9144621045442,174.718697920244 -36.9144890892966,174.718736565711 -36.914517147641,174.718819270295 -36.91460275807,174.719040486526 -36.9148256353924,174.719326296019 -36.9151210302395,174.719634211642 -36.9154485363546,174.71967788642 -36.9154889231176,174.71973814528 -36.9155271606791,174.719795835868 -36.9155568510216,174.719879783172 -36.9155918846187,174.720016177431 -36.9156347438696,174.720240990984 -36.915700169968,174.720506334024 -36.9157815043595,174.720615413882 -36.9158149398856,174.720917852331 -36.915898318741,174.72096734746 -36.9159069024696,174.720998554182 -36.9159078806837,174.721038572129 -36.9159044390146,174.721068744318 -36.9158989939199,174.721099725989 -36.9158899596623,174.721128894631 -36.9158795203411,174.721172947291 -36.9158574191711,174.721313741645 -36.9157788258872)",3286911,BATTERSBY AVENUE,N,BATTERSBY AVENUE,,1825363,2,,,sealed
"LINESTRING (174.739694630222 -36.9272012400079,174.739782926335 -36.9270521973799,174.739964348622 -36.926755256159,174.740003976679 -36.9266952944907,174.740023928876 -36.9266713925003,174.740044822061 -36.9266496228027,174.740072743176 -36.9266234579499,174.740099919506 -36.9266037431593,174.740136910866 -36.9265845992952,174.740180964912 -36.9265624910765,174.740224274156 -36.9265468320098,174.740271260522 -36.9265361277715,174.74036361359 -36.9265218959909,174.740412397255 -36.9265118801168,174.740451414653 -36.9265034386866,174.740486754909 -36.9264900433081,174.740540461184 -36.9264613534301,174.740595510527 -36.9264133281808,174.7406792684 -36.926295483613,174.740711139352 -36.9262470824053,174.740729326401 -36.9262239218351,174.740755531107 -36.9262006437312,174.740789817403 -36.9261801088976,174.741114255449 -36.9260265407042,174.741193469805 -36.9259831687019,174.741272505085 -36.925931928795,174.741408303539 -36.9258297763383,174.741440629439 -36.9258014004907,174.741464404563 -36.9257888891851,174.741489168416 -36.9257806564449,174.74149397099 -36.9257797327105,174.74154151583 -36.9257705878495,174.741573503817 -36.925766541314)",3286925,MOLLEY GREEN PLACE,N,MOLLEY GREEN PLACE,,1831674,2,,,sealed
"LINESTRING (174.727368282232 -36.856488429452,174.727483934742 -36.8563904914173,174.727620535467 -36.8562628386136,174.728318607645 -36.8556056717662,174.728927644782 -36.8550333495225,174.729111508994 -36.8548546535345,174.729146610978 -36.8548205377888,174.729276696532 -36.8546934421077,174.729776230383 -36.854209922627,174.730070907453 -36.8539280517529,174.730316919127 -36.8536886103968,174.730410212897 -36.8535994600664,174.730664602256 -36.8533563674616,174.731126563988 -36.8529149149941)",8463298,LIVINGSTONE STREET,N,LIVINGSTONE STREET,,1823691,2,,,sealed
"LINESTRING (174.701620663495 -36.8225232069306,174.701517392992 -36.8225962772181,174.701442778875 -36.8226549076439,174.701294397956 -36.8227714621858,174.700897363088 -36.8230732773841,174.700837254742 -36.8231247639391,174.700798954266 -36.8231481982861,174.700691108371 -36.8231864976828,174.700418221448 -36.8232902691161,174.70022077695 -36.8233728480421,174.700146301927 -36.8233988799012,174.700076063045 -36.8234213836104,174.699914101836 -36.8234701656438,174.699811491194 -36.8235111637622,174.699662710372 -36.823570853593,174.699599243198 -36.823592450782,174.699553563705 -36.8236040265208,174.699512544844 -36.8236069826325,174.699477139207 -36.8236004383977,174.699400454605 -36.8235704414754,174.699018022142 -36.8234018343331,174.698516784599 -36.823185452525,174.698304260845 -36.8230932452147,174.698264165253 -36.8230794269626,174.698227716382 -36.8230695451066,174.69819848473 -36.8230642408859,174.69816931056 -36.8230615371542,174.698126600367 -36.8230611071112,174.697831296919 -36.8230778080572,174.697804213374 -36.8230818363597,174.69777600762 -36.823093681932,174.697746646342 -36.8231117868023,174.697693732595 -36.8231473916776)",8463299,,N,,,0,1,,,unmetalled
"LINESTRING (174.726197485262 -36.8797983315489,174.726239182172 -36.8798470870021,174.726259751591 -36.8798706566648,174.726279780045 -36.8799008960306,174.726294244777 -36.8799295505492,174.726307477602 -36.8799648839113,174.726329070507 -36.8800339575505,174.726371617712 -36.8801743332066,174.726428991243 -36.8803726130639,174.72645737373 -36.8804844938653,174.726478235969 -36.8805824427797,174.726485476716 -36.8806278555113,174.726496434505 -36.8806848704267,174.726500333943 -36.8807474230288,174.726498677563 -36.8808458154535,174.726484347332 -36.8812834367987,174.726481664099 -36.8813364289416,174.726476742943 -36.8814336384653,174.726470586316 -36.881582063268,174.726456501472 -36.8818794163213,174.726443117281 -36.8821815281974,174.726433526533 -36.8824411351703,174.726433306236 -36.8824463799863,174.726430820311 -36.8825055648092,174.726426088168 -36.8825590536133,174.726419445951 -36.8826068457295,174.726411293789 -36.8826403518309,174.726397357203 -36.8826806191559,174.726383906607 -36.8827161103986,174.726371967643 -36.8827396548744,174.726353618681 -36.8827685392264,174.726332248089 -36.8827950825237,174.726309031854 -36.8828187908648,174.726136969237 -36.882982504713,174.725896295189 -36.8832106508784,174.72563282869 -36.8834609753458,174.724168781057 -36.8848587065589,174.724132494886 -36.8848933482301,174.723307131191 -36.8856810947131,174.723066699462 -36.8859107297594,174.722991824332 -36.8859820242299,174.72292044194 -36.8860502160437,174.722812325947 -36.8861536630601,174.722751158346 -36.8862114042606,174.722643732769 -36.8863138874906,174.72260939922 -36.8863464948712,174.722575597398 -36.8863785978908,174.722479798266 -36.8864700376582,174.722386075782 -36.8865587756538,174.722236471851 -36.8867024513093,174.722156038953 -36.8867788562423,174.722027952839 -36.8869005657813,174.721956383883 -36.8869694690883,174.721815023888 -36.887105067649,174.721787312647 -36.8871296992523,174.721749662382 -36.8871664943387,174.721717094609 -36.8871969189543,174.721707246289 -36.8872067259102,174.721663382627 -36.8872482556521,174.721578746858 -36.8873292305414,174.721527832502 -36.887378237219,174.721506896032 -36.887397809577,174.721454565538 -36.8874472180144,174.721380619295 -36.8875177354871,174.7213173737 -36.8875781767581,174.721219698173 -36.8876707874226,174.721189926707 -36.8876988828649,174.72113433632 -36.8877512001662,174.72108334542 -36.8877967727381)",3236204,ALBERTON AVENUE,N,ALBERTON AVENUE,,1831620,2,,,sealed
"LINESTRING (174.71957462212 -36.8867784637199,174.72066010773 -36.8857333773485,174.720885876207 -36.8855185865421,174.7209630527 -36.8854441738319,174.721060062662 -36.8853475647333,174.721074750686 -36.8853279279447,174.721082936217 -36.8853144847647,174.721100160586 -36.8852861231567,174.721117459184 -36.8852632172178,174.721140275699 -36.8852381438173,174.721171119921 -36.8852069926063,174.721226378357 -36.8851558130896,174.721280179453 -36.885105846242,174.721478465887 -36.8849269204647,174.721576689671 -36.8848249114267,174.721775225267 -36.8846376080498,174.721838902759 -36.8845775325352,174.722341794209 -36.8841001657524,174.722498876309 -36.8839497115821,174.722558323772 -36.8838868442604,174.722593768912 -36.8838451289023,174.722610384686 -36.8838255748403,174.722682286435 -36.8837389774103,174.722824963319 -36.8835652011675,174.723038830891 -36.8833095478587,174.723289592511 -36.8830129895334,174.723459955549 -36.8828087339264,174.723611436711 -36.8826267619849,174.723964772783 -36.8822013052104,174.72436692207 -36.8817190887256,174.724612998619 -36.8814241991447,174.72489274955 -36.8810834878695,174.725071679038 -36.8808819962272,174.72531535827 -36.8805765401967,174.725363505726 -36.8805174130364,174.725380187188 -36.8804935609235,174.725392734441 -36.880470722473,174.725399687305 -36.880449874319,174.725404217369 -36.8804269143452,174.72540411861 -36.8803961510442,174.725399025211 -36.8803544909015,174.72539184167 -36.8803255006857,174.725366328693 -36.880257149895)",3236205,KITENUI AVENUE,N,KITENUI AVENUE,,1825008,2,,,sealed
"LINESTRING (174.711634599132 -36.8806485199397,174.71170767838 -36.8806305145124,174.712024716991 -36.880553506791,174.712215896253 -36.8805069308616,174.712427000157 -36.8804552975087,174.712529601351 -36.8804302690916,174.712572804656 -36.8804207031556,174.712622259432 -36.8804086621214,174.712699166329 -36.8803962253197,174.71277313197 -36.8803850233543,174.71301205345 -36.8803493843409,174.713117470596 -36.8803341512216,174.713447042716 -36.8802867701646,174.713857966013 -36.880226588193,174.714183503258 -36.880181349926,174.714411514356 -36.8801496809323,174.714863642222 -36.8800884312878,174.716197694601 -36.8799168554795,174.716427169719 -36.8798887118887,174.716473061047 -36.8798832798449,174.716505578208 -36.8798771459764,174.716546580903 -36.879868802879,174.716584138862 -36.8798557396108,174.716611282727 -36.8798416352224,174.716663305049 -36.8798116690856,174.716720770508 -36.8797762585553,174.716770169502 -36.879745138698,174.716800127644 -36.8797241370531,174.716849636455 -36.8796813891008,174.716869651806 -36.8796638093194,174.716897223318 -36.879635688148,174.716922246056 -36.879609689521,174.717307637268 -36.8791885641929,174.717766807813 -36.8787280285191)",3236206,SEAVIEW TERRACE,N,SEAVIEW TERRACE,,1824981,2,,,sealed
"LINESTRING (174.714650437093 -36.9082797878989,174.713837559702 -36.9087991947036,174.713464256126 -36.9090378151178,174.713106559439 -36.90925725041,174.713016254684 -36.9093225852384,174.712966319847 -36.9093605083831,174.712861869711 -36.9094306971371,174.712563161334 -36.9096188732743,174.712007090865 -36.9099717332237,174.711978019021 -36.9099864611033,174.711935603748 -36.9100020969738,174.711874532561 -36.910020147824,174.711784928697 -36.9100371794443)",3287099,TED WILLIAM STREET,N,TED WILLIAM STREET,,1824238,2,,,sealed
"LINESTRING (174.715258968536 -36.9019138544688,174.715394885516 -36.9021696364242,174.7154779931 -36.9023225853872,174.715577479044 -36.9025056757264,174.715729616933 -36.9027856602024,174.715981363741 -36.9032561772894,174.716253337488 -36.9037635765333)",3287104,WHITTLE PLACE,N,WHITTLE PLACE,,1824395,2,,,sealed
