WKT,t50_fid,name_ascii,macronated,name,hway_num,rna_sufi,lane_count,way_count,status,surface
"LINESTRING (174.706707532209 -36.8553927181796,174.706952864442 -36.8557205980693,174.707052390719 -36.8558527451387)",8464823,LYNCH STREET,N,LYNCH STREET,,1823959,1,,,sealed
"LINESTRING (174.731859843714 -36.851368380232,174.731865524032 -36.8514289075252,174.731880223856 -36.8515855426742,174.731882309594 -36.8516053077031,174.731888501837 -36.8516238483435,174.731901197378 -36.8516446926972,174.731982659361 -36.8517401021419)",8464824,PARAWAI CRESCENT,N,PARAWAI CRESCENT,,1824433,1,,,sealed
"LINESTRING (174.693810446135 -36.9309938847547,174.693930525317 -36.9309696531685,174.69401705458 -36.9309504038252,174.694059166286 -36.9309520549261,174.694119099397 -36.9309984891513,174.694183943152 -36.9310133271099,174.694253747308 -36.9309988199544,174.694585643852 -36.9309130167242,174.694666066137 -36.9308713353662,174.694718197888 -36.930818798367,174.694766578275 -36.9307235293659,174.694840793793 -36.930654914042,174.694957469688 -36.9306037075658,174.695054915537 -36.9305707904341,174.695125018276 -36.9305697897256,174.695218501309 -36.9306112407196,174.695299720789 -36.930605577466,174.695399920721 -36.9305703688642,174.695446044577 -36.9304999023736,174.695495820281 -36.9304676655016,174.695632872297 -36.9304499454693,174.695748040091 -36.9304573083586,174.695810628255 -36.9304969482029,174.695904011779 -36.9305338963369,174.696116375541 -36.9304970851868,174.696263945328 -36.9304476880284,174.696386178209 -36.9303941489104,174.696504749368 -36.9303388024347)",8463160,,N,,,0,1,,,sealed
"LINESTRING (174.723686847925 -36.903431538024,174.723677670085 -36.9034253712324,174.723629500464 -36.9033930049829,174.723569577877 -36.9033560938415,174.723499799565 -36.9033170128332,174.723431600073 -36.9032825048222,174.723364600876 -36.9032518587357,174.723292965131 -36.9032223993483,174.723205121302 -36.9031882266892,174.723133234114 -36.9031565147902,174.723039354924 -36.9031137270958,174.722216036494 -36.9026681016985,174.721408590225 -36.9022499846727,174.721263118642 -36.9021787595424,174.720433919961 -36.9018037897099,174.720049934749 -36.901612464727,174.719724029753 -36.9014779227969,174.719719221698 -36.9014763137874,174.719143008217 -36.9012834827698,174.719698149342 -36.901699856812,174.719851175231 -36.9018146299631,174.72048971434 -36.9021959631069,174.720789066599 -36.902403196305,174.720911401749 -36.9024817273143,174.72109488164 -36.9025901936601,174.721658545759 -36.902933783061,174.722233975908 -36.9032745770997,174.722537130295 -36.9034586843545,174.722707665555 -36.9035719534437,174.72283461519 -36.9036584221152,174.72291785048 -36.9037155235529,174.723005276003 -36.9037834712965,174.723079928865 -36.9038483008434)",8463167,,N,,20,0,1,,,sealed
"MULTILINESTRING ((174.705600073103 -36.8975241508214,174.706280096246 -36.8976355534702,174.706563524006 -36.8976958722014,174.706660844377 -36.897732630652,174.706713427685 -36.8977604928734,174.706747085687 -36.8977731593601,174.706792779893 -36.8977903553988,174.706849311594 -36.8977955054967,174.706904040359 -36.8977863717083,174.706998337618 -36.8977540139539,174.707098332861 -36.8977108428141,174.707158864706 -36.8976956640095),(174.707158864706 -36.8976956640095,174.7072063325 -36.8976937893194,174.707262996957 -36.8977048997155,174.707321489848 -36.8977314842479,174.707454063339 -36.8978178168131,174.707528222571 -36.8978811402369,174.70758218431 -36.8979042132327,174.70767033635 -36.8979291787416,174.707732751028 -36.8979318588811,174.707797789987 -36.8979189999138,174.707877483403 -36.8978975828485,174.707943820572 -36.8978763577735,174.708001092657 -36.8978481090277,174.708090272361 -36.8977860137889,174.708192543475 -36.8977118063206,174.708249363558 -36.8976632926919,174.708307960189 -36.897627870771,174.708375620691 -36.8975994724454,174.708559601053 -36.8975276660276,174.708703481645 -36.8974552445838,174.708732712749 -36.8974345528316,174.70873954925 -36.8974082217234,174.70873408633 -36.8973629887594,174.708716936544 -36.8973262712725,174.708671161656 -36.8972708867603,174.708599944033 -36.8972063283551,174.708558016054 -36.8971902376121,174.708500027041 -36.897186301765,174.708311643812 -36.8971937810673,174.708274592755 -36.8971966988718,174.708249494369 -36.8972030222157,174.708233487542 -36.8972175612724,174.708219044675 -36.8972356543761,174.708212340887 -36.8972679459506,174.708204765156 -36.8973276753111,174.708193583117 -36.8973588388037,174.708165675578 -36.8973723565087,174.70809313726 -36.8973817469714,174.707844168882 -36.8974020197189,174.707712608709 -36.8974277598718,174.707624116391 -36.8974540723347,174.70751670159 -36.8974973505673,174.707262461556 -36.8976142842977,174.707222894324 -36.8976375083073,174.707158864706 -36.8976956640095))",8463168,,N,,,0,1,,,sealed
"LINESTRING (174.729969960198 -36.9087597059333,174.729899974122 -36.9087378312344,174.729806886302 -36.9087186779043,174.729752046443 -36.908709936796,174.729715157922 -36.9087071354581,174.729672981193 -36.9087067960709,174.72958644391 -36.908714733428,174.729409192846 -36.9087297160493,174.729188141572 -36.9087488170837,174.729111677697 -36.9087556538169,174.729047664702 -36.9087615935786,174.729002404644 -36.9087694073072,174.728959961456 -36.908783618295,174.728920318999 -36.9088035120161,174.72881041133 -36.9088680705662,174.728731831107 -36.9089192955774,174.728644187927 -36.9089835299094,174.728570731188 -36.9090446959518,174.728434149829 -36.9091511383182,174.72838193937 -36.90919053231,174.728301055919 -36.9092384510876,174.728170748943 -36.9093071212739,174.728006347872 -36.9093915506808,174.7279077374 -36.909443543386,174.727822016546 -36.9094877168394,174.727782007294 -36.9095045158082,174.727733663177 -36.9095204814898,174.727693503316 -36.9095306054824,174.727650817459 -36.909534088166,174.727602000078 -36.9095290747446,174.727551909514 -36.909520263542,174.72672218051 -36.9093367760729,174.726683814384 -36.9093211169077,174.726653761578 -36.9093053368731,174.72661511602 -36.9092772810891,174.726568915499 -36.9092302564198,174.726529775583 -36.9091802673341,174.726516047384 -36.9091508956778,174.726512941133 -36.9091185078539,174.726519206297 -36.9090802593804,174.726604893913 -36.9087184310891,174.726697678414 -36.9084080121344,174.726766530662 -36.9081952399889)",8463169,,N,,,0,1,,,sealed
"LINESTRING (174.73966937191 -36.9109239673807,174.739639088589 -36.9109188379731,174.73945031974 -36.9108746258704,174.739335013152 -36.9108381419323,174.739113044911 -36.9107621346879,174.738871780372 -36.9106662832123,174.738486629095 -36.910538336498,174.738165314019 -36.9104357555647,174.738079765239 -36.9104091471141,174.737950628709 -36.9103716464915,174.737879495171 -36.910351700573,174.737794389724 -36.9103287430649,174.737759338174 -36.9103201298581,174.737621938935 -36.9102877404888,174.737453142188 -36.9102486329026,174.737294423503 -36.9102154436761,174.737145545137 -36.9101866007853,174.73689752219 -36.9101404778079,174.73670934408 -36.9101071174155,174.736460378727 -36.9100638131706,174.736296766173 -36.9100340516426,174.736120509498 -36.9100007720092,174.735901008345 -36.909957802923,174.735766585231 -36.9099304280137,174.735549283966 -36.9098816926951,174.73532515153 -36.9098305150048,174.735084433991 -36.9097715410237,174.734632521845 -36.9096319504455,174.734538697429 -36.9096008487248,174.733840502308 -36.9093694018643)",8463170,SOUTH-WESTERN MOTORWAY,N,SOUTH-WESTERN MOTORWAY,20,3018532,1,,,sealed
"LINESTRING (174.745162212574 -36.8941017746227,174.749296581487 -36.8950396842599,174.750697695245 -36.895359722228,174.75080778884 -36.8953809367889)",8463171,SHACKLETON ROAD,N,SHACKLETON ROAD,,0,2,,,sealed
"LINESTRING (174.733840502308 -36.9093694018643,174.734461214256 -36.9096931481768,174.734551776212 -36.9097403822974,174.735003416564 -36.9099450311197,174.735206185164 -36.9100142094454,174.735503889228 -36.9101118093477,174.735787434308 -36.9101967208509,174.736184078406 -36.9103077072498,174.736335412845 -36.9103479498432,174.736537932252 -36.9104018806332,174.736698836932 -36.9104435574708,174.736984794974 -36.9105199816337,174.737116503654 -36.9105569256154,174.737238002746 -36.9105920881162,174.737340326997 -36.9106238724428,174.737479607149 -36.9106678042152,174.737577538471 -36.9107000879466,174.737685783995 -36.9107378630787,174.737792758185 -36.9107758486978,174.73791662018 -36.9108215747779,174.737988808149 -36.9108496326196,174.738045550731 -36.9108718765662,174.738103090348 -36.9108946180781,174.738190740976 -36.910931318691,174.738251660841 -36.9109571968955,174.73833338144 -36.9109922527173,174.738401511787 -36.9110221273053,174.738482493418 -36.9110585440458,174.73854990609 -36.9110899766525,174.73863013732 -36.9111281898289,174.738711937503 -36.9111678725998,174.738770168455 -36.9111967219559,174.738856299003 -36.9112400547477,174.738932713555 -36.9112804633751,174.73918687887 -36.9114260297339,174.739377916065 -36.9115486625218,174.739408826336 -36.9115732310161,174.739440742101 -36.9116010503293,174.73946211161 -36.9116212725738)",8463172,SOUTH-WESTERN MOTORWAY,N,SOUTH-WESTERN MOTORWAY,20,3018532,1,,,sealed
"LINESTRING (174.699185744743 -36.8667415878235,174.699089980535 -36.8667870613737,174.699080651194 -36.8667914913964,174.699025952399 -36.8668144521892,174.698990568145 -36.8668249739545,174.698950748713 -36.866836275699,174.698915237717 -36.8668410756741,174.69886820313 -36.8668481874171,174.698792745938 -36.8668585672916,174.698710883709 -36.8668611680877,174.698632343396 -36.8668529898507,174.698483834582 -36.8668214869692,174.698343893169 -36.8667748368209,174.698024948924 -36.8666224617304,174.697978169711 -36.8665868300935,174.697942013536 -36.8665493025226,174.697914181694 -36.8665098226411,174.697899368495 -36.8664783058431,174.697886582084 -36.8664383612893,174.697879912443 -36.8663980940774,174.697879372214 -36.8663549333738,174.697880629538 -36.8662992227064,174.697887677264 -36.866233107923,174.697898912201 -36.8661715347054,174.697912392307 -36.8661191565389,174.697933200882 -36.8660613466631,174.69796444626 -36.8659966293103,174.698001342746 -36.8659372140652,174.698059545394 -36.8658485591477,174.698100348939 -36.8657956309479,174.698138381974 -36.8657535639541,174.698181720946 -36.86571194931,174.698225625813 -36.8656751740306,174.698260073875 -36.8656494411491,174.698292665759 -36.865627273493,174.698422616787 -36.8656143961667,174.698548713966 -36.8656030177533,174.698614410846 -36.8655945316019,174.698670831538 -36.8655828484324,174.698740247321 -36.8655657092534,174.698801637424 -36.8655419670041,174.699478482054 -36.865212194146,174.70018870706 -36.8648639930562,174.700262779582 -36.8648276768164,174.700382565074 -36.8647689489939,174.700912490583 -36.8645091373102,174.701305651871 -36.8643033556162)",8463173,SHAFTESBURY AVENUE,N,SHAFTESBURY AVENUE,,1791637,2,,,sealed
